City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Faanui,PF,2022-05-08 17:57:15,-16.4833,-151.75,81.32,76,10,10.69
116,Tevaitoa,PF,2022-05-08 17:57:15,-16.7833,-151.5,81.5,78,18,12.06
117,Bonthe,SL,2022-05-08 17:57:16,7.5264,-12.505,78.94,82,100,4.43
118,Port Lincoln,AU,2022-05-08 17:57:16,-34.7333,135.8667,60.08,70,100,10.98
119,Ariquemes,BR,2022-05-08 17:57:17,-9.9133,-63.0408,85.28,68,24,3.56
120,Imbituba,BR,2022-05-08 17:57:18,-28.24,-48.6703,72.86,65,0,11.41
121,Leningradskiy,RU,2022-05-08 17:57:18,69.3833,178.4167,18.95,96,100,3.85
122,Praia Da Vitoria,PT,2022-05-08 17:57:19,38.7333,-27.0667,68.25,64,20,2.93
123,Port Elizabeth,ZA,2022-05-08 17:57:19,-33.918,25.5701,63.32,75,75,8.05
124,Sa Kaeo,TH,2022-05-08 17:57:20,13.75,102.3333,78.64,78,100,3.4
125,Ha Giang,VN,2022-05-08 17:57:21,22.8333,104.9833,75.78,99,99,2.75
126,San Juan Evangelista,MX,2022-05-08 17:57:21,17.9,-95.1333,104.97,24,15,18.72
127,Longyearbyen,SJ,2022-05-08 17:57:22,78.2186,15.6401,17.44,57,40,20.71
128,Acari,PE,2022-05-08 17:57:23,-15.4311,-74.6158,77.9,53,50,12.21
129,Dunedin,NZ,2022-05-08 17:57:24,-45.8742,170.5036,52.81,92,100,1.99
130,Fethiye,TR,2022-05-08 17:57:24,36.6217,29.1164,67.87,59,35,4.45
131,Troitskoye,RU,2022-05-08 17:58:25,52.9821,84.6757,41.86,38,84,4.07
132,Bagepalli,IN,2022-05-08 17:58:26,13.7847,77.7931,80.58,53,100,11.54
133,Saint-Pierre,RE,2022-05-08 17:57:51,-21.3393,55.4781,73.9,73,0,3.44
134,Cabo San Lucas,MX,2022-05-08 17:55:29,22.8909,-109.9124,90.61,48,94,9.28
135,Victoria,HK,2022-05-08 17:58:05,22.2855,114.1577,77.38,78,100,10.0
136,Monjaras,HN,2022-05-08 17:58:27,13.2006,-87.3742,89.53,58,71,5.66
137,Rio Tuba,PH,2022-05-08 17:58:28,8.5061,117.4317,82.22,79,71,8.37
138,Bahia Blanca,AR,2022-05-08 17:58:29,-38.7196,-62.2724,76.17,35,81,14.03
139,Thinadhoo,MV,2022-05-08 17:58:29,0.5333,72.9333,84.47,78,81,20.02
140,Liverpool,GB,2022-05-08 17:58:30,53.4106,-2.9779,65.14,68,20,11.5
141,Horsham,GB,2022-05-08 17:58:30,51.064,-0.3272,64.6,55,0,10.36
142,Luanda,AO,2022-05-08 17:53:47,-8.8368,13.2343,78.08,85,52,12.77
143,Kaitangata,NZ,2022-05-08 17:58:31,-46.2817,169.8464,51.82,96,100,1.63
144,East London,ZA,2022-05-08 17:58:32,-33.0153,27.9116,61.74,82,0,10.36
145,Fuerte Olimpo,PY,2022-05-08 17:58:32,-21.0415,-57.8738,91.94,26,3,4.18
146,San Juan,AR,2022-05-08 17:58:33,-31.5375,-68.5364,73.35,32,99,5.3
147,Usinsk,RU,2022-05-08 17:58:33,65.9939,57.5281,42.1,90,68,14.9
148,Bhag,PK,2022-05-08 17:58:34,29.0415,67.8239,100.35,7,0,9.73
149,Weston,US,2022-05-08 17:58:34,26.1004,-80.3998,94.01,59,3,5.99
150,Busselton,AU,2022-05-08 17:58:35,-33.65,115.3333,57.18,82,7,3.49
151,Sarangani,PH,2022-05-08 17:58:35,5.4033,125.4636,80.17,88,100,15.1
152,Baft,IR,2022-05-08 17:58:36,29.234,56.6057,64.42,29,18,14.47
153,Mao,ES,2022-05-08 17:58:37,39.8885,4.2658,68.56,49,20,9.22
154,Cairns,AU,2022-05-08 17:58:37,-16.9167,145.7667,75.15,93,75,10.36
155,Manokwari,ID,2022-05-08 17:58:38,-0.8667,134.0833,80.62,79,92,3.6
156,Port Alfred,ZA,2022-05-08 17:58:38,-33.5906,26.891,58.17,90,83,4.0
157,Mount Gambier,AU,2022-05-08 17:58:39,-37.8333,140.7667,39.11,100,100,5.75
158,Lasa,IT,2022-05-08 17:58:39,46.6166,10.7002,55.69,97,100,2.19
159,Semenivka,UA,2022-05-08 17:58:40,52.1783,32.5818,54.03,79,82,3.67
160,Esperance,AU,2022-05-08 17:54:21,-33.8667,121.9,55.24,43,7,11.74
161,Hamilton,US,2022-05-08 17:56:14,39.1834,-84.5333,69.21,51,2,4.0
162,Rio Tercero,AR,2022-05-08 17:58:41,-32.173,-64.1141,76.8,36,97,12.53
163,Mogzon,RU,2022-05-08 17:58:42,51.7435,111.9606,46.63,65,73,7.2
